Date,ID,Tweet,Translated
2022-07-24 23:59:09+00:00,1.55136E+18,親父の容態の心配、自宅待機で会社に行けずお金が貰えないストレス、自分もコロナに感染したかもしれない不安のトリプルパンチや,"Worrying about my father's condition, the stress of not being able to go to work because I'm on standby at home and not being able to receive money, the triple punch of anxiety that I might have been infected with Corona,"
2022-07-24 23:49:06+00:00,1.55135E+18,"友達今ディズニー行ってるらしい
いいなぁ私なんて仙台に行きたい！って言ったらコロナを言い訳に断られたのに……🥺羨ましい…どこにも遠出出来ないし、お留守番しなきゃで遊びにも行けなくて流石にストレス溜まる","My friend is going to Disney right now
I really want to go to Sendai! When I said that, they refused me with the corona as an excuse... 🥺 I'm jealous... I can't go anywhere, I have to stay at home and I can't go out to play, so it's stressful."
2022-07-24 23:39:53+00:00,1.55135E+18,"コロナ感染者が続々と(T-T)
気の合う仲間と遊ぶのが好きなのに。
会えないってこんなにストレスなんだなぁ！
コロナなんて！ぶっとばせ！！！","Corona infected people keep coming (T-T)
I like playing with my friends.
It's so stressful that I can't meet you!
Corona! Blow it! ! !"
2022-07-24 23:39:03+00:00,1.55135E+18,"美容にも健康にもストレスは大敵。私の周りは自分で自分を幸せにできる人多め。ご機嫌な自分をつくれるって最高。

人生はいつ終わるかわからないからこそ、好きなもの見たいもの食べたいものをできるだけ😌楽しそうとか幸せそうな人見てるとこっちまでうれしくなっちゃうよね。早く静かになれコロナ。","Stress is a great enemy for beauty and health. There are many people around me who can make themselves happy. It's great to be able to make yourself in a good mood.

I don't know when my life will end, so I can do what I want to see and eat as much as I can 😌 When I see people looking happy or having fun, it makes me happy. Be quiet soon Corona."
2022-07-24 23:38:06+00:00,1.55135E+18,"息子に続き、ダンナも陽性に
なんかもう、いろいろと大変
同居のお義母さんはガンステージⅢ治療中で感染したら死の危険があるから「私たちのエリアには来ないで！」って言ってるのに「コロナなの？」「体調どう？」って頻繁に来るのやめて💢
ストレスで何度も吐く…
早く治れ〜！","Following her son, her husband also tested positive
I'm having a lot of trouble
My mother-in-law, who lives with me, is undergoing cancer stage III treatment, and if she gets infected, she's in danger of dying, so she said, ""Don't come to our area!"" Stop coming here so often💢
I vomit many times due to stress...
Get well soon!"
2022-07-24 23:33:13+00:00,1.55135E+18,"先月の26日から本格的に？
ゆる〜くﾀﾞｲｴｯ中1ヶ月目-3.5%
コロナ禍で2年かけて2桁増してしまってた😑
ゆる〜くそれでも確実にﾉﾝｽﾄﾚｽで頑張ってこう😆","In full swing from the 26th of last month?
-3.5% during the first month of loose diet
It has increased by double digits over 2 years due to the corona wreck 😑
Let's do our best without stress even though it's loose 😆"
2022-07-24 23:33:00+00:00,1.55135E+18,コロナ禍引きこもり生活と座りっぱなしの生活で大分肥えたのでとりま夏コミまでに去年の冬くらいに体重戻すために食事制限してるが今のとこあまりストレスなくカロリー制限しておる。,"I've gained a lot of weight due to my sedentary life and sedentary life due to the corona crisis, so I'm restricting my diet to regain the weight I had last winter, but right now I'm limiting my calories without too much stress."
2022-07-24 23:31:23+00:00,1.55135E+18,期末期の試験。生徒はもとより教師も試験に対してストレスや不安を感じていたのだと実感。ましてやコロナ、不景気、戦争、銃撃って、逃げ出したいのはみんな同じなんだよね,"final exam. I realized that not only the students but also the teachers felt stress and anxiety about the exam. What's more, everyone wants to escape from corona, recession, war, shooting, etc."
2022-07-24 23:23:53+00:00,1.55135E+18,"土曜から頭痛と腰痛、倦怠感があり(発熱はない)ストレスかな？？？

っと思っていたが、今朝体温計測したら「38.1℃」、、、

コロナなのか？？？","Since Saturday, I have had a headache, backache, and malaise (no fever). ? ?

I thought, but when I measured my body temperature this morning, it was ""38.1℃""...

Is it corona? ? ?"
2022-07-24 23:16:40+00:00,1.55135E+18,"考えてみたら今回のお泊まり、新型コロナが流行り出してから初の仕事・親族以外の知人と会った件だ。

自粛しすぎでしょ。
そりゃストレスも溜まるわ。","Come to think of it, this stay was the first time I met an acquaintance other than work and relatives since the new corona started to spread.

You're too restrained.
It's stressful too."
